step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
253,CASH_OUT,3778.77,C36998038,39426.22,35647.45,M63551839,49757.47,53536.24,0
561,CASH_IN,3252.89,C68800797,48233.59,51486.48,M70597444,6050.21,2797.32,0
475,DEBIT,1131.24,C55377076,2182.95,1051.71,M84346088,11505.74,10374.5,0
59,TRANSFER,364.26,C94705205,3307.95,2943.69,M19046318,45271.0,45635.26,0
511,PAYMENT,4299.58,C19510312,30007.39,25707.81,M47376585,33448.89,37748.47,0
682,PAYMENT,1079.04,C27758595,37246.67,36167.63,M86644106,28810.58,29889.62,0
476,TRANSFER,2370.13,C64634663,11890.63,9520.5,M23009833,32949.14,35319.27,0
700,CASH_OUT,2061.4,C17270733,35729.63,33668.23,M96728778,4920.89,6982.29,0
190,DEBIT,2019.08,C55540424,42048.71,40029.63,M24665841,12432.82,10413.74,0
687,PAYMENT,959.14,C70211891,7968.25,7009.11,M34627347,13927.26,14886.4,0
563,PAYMENT,1256.53,C20117988,23413.07,22156.54,M83863413,4895.44,6151.97,0
567,PAYMENT,3264.2,C82556484,45065.58,41801.38,M22517517,46318.35,49582.55,0
244,PAYMENT,4244.99,C32321899,24565.69,20320.7,M74606833,10687.36,14932.35,0
505,PAYMENT,2011.19,C17869910,10243.05,8231.86,M10289289,49265.44,51276.63,0
131,CASH_OUT,3922.51,C71070189,18184.97,14262.46,M84593961,33093.57,37016.08,0
485,TRANSFER,957.59,C39219319,49393.06,48435.47,M87736262,36786.86,37744.45,0
647,CASH_OUT,1574.89,C16729990,30783.77,29208.88,M77491435,45969.36,47544.25,0
21,PAYMENT,2660.32,C17634247,50699.27,48038.95,M20752378,42567.13,45227.45,0
167,PAYMENT,351.92,C19121552,34112.55,33760.63,M41568532,20188.78,20540.7,0
274,TRANSFER,2852.68,C87701200,32578.64,29725.96,M93131979,4099.17,6951.85,0
388,DEBIT,3290.29,C85863473,29429.43,26139.14,M44999379,10212.96,6922.67,0
601,PAYMENT,3583.8,C42035886,16864.53,13280.73,M27566185,33584.51,37168.31,0
316,DEBIT,1506.99,C52436584,47957.91,46450.92,M19736572,465.77,-1041.22,0
14,PAYMENT,3109.58,C85563727,52914.4,49804.82,M19832887,26881.72,29991.3,0
242,DEBIT,2534.36,C27778019,49197.33,46662.97,M19233013,43963.51,41429.15,0
346,DEBIT,1853.94,C31172421,23763.17,21909.23,M82909480,35177.0,33323.06,0
565,PAYMENT,3062.27,C97775215,29509.3,26447.03,M99639081,40855.21,43917.48,0
340,CASH_OUT,3320.31,C28024248,16543.61,13223.3,M24366125,37120.83,40441.14,0
92,PAYMENT,785.69,C47816686,31027.18,30241.49,M56020613,10179.87,10965.56,0
367,DEBIT,3174.85,C45431319,28445.3,25270.45,M43704923,45266.82,42091.97,0
455,TRANSFER,470.57,C66851377,41937.97,41467.4,M15917225,177.28,647.85,0
428,TRANSFER,3189.2,C45159040,11268.3,8079.1,M69302158,27584.02,30773.22,0
509,CASH_OUT,58.25,C20099059,47310.8,47252.55,M30005727,27279.51,27337.76,0
35,DEBIT,4174.63,C88183110,31800.88,27626.25,M67684996,6372.28,2197.65,0
206,PAYMENT,1548.21,C15354599,46494.44,44946.23,M38195995,34103.33,35651.54,0
81,CASH_OUT,1774.86,C85146293,45981.6,44206.74,M64543049,48691.85,50466.71,0
562,PAYMENT,3749.89,C41774346,46980.17,43230.28,M33763566,44070.81,47820.7,0
388,PAYMENT,133.68,C54585178,39253.0,39119.32,M65259205,40111.76,40245.44,0
2,CASH_OUT,4055.64,C45810056,12015.53,7959.89,M24508349,19127.09,23182.73,0
390,PAYMENT,203.24,C73174945,11324.93,11121.69,M71780854,17482.92,17686.16,0
566,PAYMENT,4104.48,C40547349,15250.66,11146.18,M98588154,9656.49,13760.97,0
106,DEBIT,1648.03,C19317495,49992.49,48344.46,M47463522,17557.31,15909.28,0
477,PAYMENT,2551.93,C81969657,19109.42,16557.49,M13704481,5767.09,8319.02,0
703,CASH_OUT,901.05,C45630292,2813.91,1912.86,M90070438,21728.19,22629.24,0
402,PAYMENT,3645.44,C52101056,25465.13,21819.69,M78642041,5782.29,9427.73,0
730,PAYMENT,4498.53,C35511941,17234.66,12736.13,M68526649,84.56,4583.09,0
556,PAYMENT,4628.62,C82269803,38971.48,34342.86,M36445607,18211.07,22839.69,0
162,CASH_OUT,3324.55,C54318698,34482.32,31157.77,M99038359,42400.76,45725.31,0
202,CASH_OUT,1508.61,C51511484,34853.26,33344.65,M53779528,20120.02,21628.63,0
270,PAYMENT,1485.32,C27084279,11077.32,9592.0,M99245317,47018.18,48503.5,0
271,PAYMENT,3389.82,C33357554,34165.57,30775.75,M50392808,20303.76,23693.58,0
456,CASH_IN,4170.29,C50785405,18515.98,22686.27,M67698610,39287.94,35117.65,0
462,PAYMENT,3037.24,C53251559,26286.65,23249.41,M69345683,33781.36,36818.6,0
727,DEBIT,2560.76,C32775593,35503.3,32942.54,M48089166,25772.6,23211.84,0
252,PAYMENT,3168.37,C54988206,7837.73,4669.36,M41523529,33639.78,36808.15,0
702,CASH_OUT,1003.66,C13278320,3314.35,2310.69,M73771720,30563.7,31567.36,0
296,PAYMENT,3844.76,C71124923,24566.81,20722.05,M94525678,28783.54,32628.3,0
725,DEBIT,3594.55,C61536717,28313.41,24718.86,M42747037,7378.57,3784.02,0
720,CASH_OUT,4464.37,C24305904,43385.39,38921.02,M39372360,8794.33,13258.7,0
338,TRANSFER,2594.61,C16740197,30464.9,27870.29,M26288475,22823.09,25417.7,0
53,PAYMENT,4009.07,C99600766,30565.66,26556.59,M85017682,29772.62,33781.69,0
217,CASH_OUT,4458.22,C92228802,45208.55,40750.33,M77750178,21337.04,25795.26,0
188,CASH_OUT,2235.11,C31361812,39417.88,37182.77,M73709724,22503.49,24738.6,0
380,PAYMENT,3761.37,C95585469,17626.94,13865.57,M79967676,24229.85,27991.22,0
493,PAYMENT,1203.84,C69038700,5078.01,3874.17,M48349783,11724.68,12928.52,0
41,DEBIT,1685.88,C82498004,5714.76,4028.88,M30244148,11563.07,9877.19,0
157,PAYMENT,3472.81,C38716269,6684.25,3211.44,M64707061,16544.07,20016.88,0
15,CASH_OUT,320.71,C66390708,19794.55,19473.84,M88393811,47303.1,47623.81,0
65,TRANSFER,900869.16,C87267850,900869.16,0.0,M10791358,47137.08,928987.19,1
521,DEBIT,1500.08,C62343121,44172.48,42672.4,M66240084,26911.03,25410.95,0
344,CASH_IN,3675.82,C90967191,48566.39,52242.21,M75529051,10971.08,7295.26,0
129,CASH_IN,2184.82,C13895645,21627.68,23812.5,M99774697,33957.09,31772.27,0
648,PAYMENT,2027.54,C32151928,44052.82,42025.28,M27129912,49036.1,51063.64,0
472,DEBIT,2675.28,C62884503,32269.92,29594.64,M98986321,1355.1,-1320.18,0
63,PAYMENT,3217.32,C28213276,46559.89,43342.57,M34391257,2514.23,5731.55,0
139,TRANSFER,1066.18,C53868501,17941.21,16875.03,M60885459,13912.83,14979.01,0
499,TRANSFER,2113.61,C20993268,25628.95,23515.34,M82399599,2604.28,4717.89,0
593,PAYMENT,4760.08,C40094589,37267.28,32507.2,M97477029,2012.91,6772.99,0
392,CASH_IN,164.84,C43189803,10132.87,10297.71,M12735359,31066.78,30901.94,0
675,PAYMENT,1200.34,C73560289,34673.28,33472.94,M85694715,47387.85,48588.19,0
419,CASH_OUT,1288.66,C59512272,9678.12,8389.46,M91503378,48186.74,49475.4,0
289,CASH_OUT,3891.18,C31980274,52127.22,48236.04,M24508768,28934.24,32825.42,0
379,CASH_OUT,2883.23,C60372847,22715.95,19832.72,M36619372,3799.82,6683.05,0
490,PAYMENT,3456.17,C94187049,15598.64,12142.47,M50477742,42514.66,45970.83,0
231,TRANSFER,614.06,C85958181,39745.83,39131.77,M56600900,26637.26,27251.32,0
41,DEBIT,3310.99,C19255216,28609.03,25298.04,M55799273,632.61,-2678.38,0
28,PAYMENT,2106.09,C75793759,7383.03,5276.94,M58612055,31779.26,33885.35,0
135,TRANSFER,3539.47,C68450095,12346.32,8806.85,M80027662,48273.69,51813.16,0
201,PAYMENT,1357.71,C82232344,40089.78,38732.07,M72394301,21778.72,23136.43,0
33,TRANSFER,1349.29,C42949803,42885.84,41536.55,M21631697,13946.41,15295.7,0
48,DEBIT,2259.5,C72372114,30751.98,28492.48,M99682738,18949.47,16689.97,0
503,TRANSFER,876820.81,C34406132,876820.81,0.0,M57623800,39891.62,892334.93,1
407,TRANSFER,4402.8,C47080140,32192.35,27789.55,M79340535,47403.13,51805.93,0
574,TRANSFER,3603.17,C75575808,31361.98,27758.81,M42255732,34530.47,38133.64,0
728,TRANSFER,2459.2,C12314351,7111.87,4652.67,M39742165,20220.06,22679.26,0
99,PAYMENT,1224.09,C99115205,30301.87,29077.78,M73519947,27673.65,28897.74,0
684,PAYMENT,1725.35,C83871890,18264.91,16539.56,M70900658,13545.82,15271.17,0
726,TRANSFER,612.07,C35848226,16389.47,15777.4,M81922443,47543.88,48155.95,0
547,CASH_OUT,965.79,C74988034,14790.77,13824.98,M89133014,48830.35,49796.14,0
739,TRANSFER,1422.16,C23492385,43053.58,41631.42,M49761527,11374.16,12796.32,0
613,PAYMENT,905.41,C11898961,36306.33,35400.92,M26989677,13715.57,14620.98,0
462,PAYMENT,4871.73,C84270583,19478.56,14606.83,M26948946,31893.48,36765.21,0
643,PAYMENT,3766.43,C23769080,47402.42,43635.99,M87049595,14216.97,17983.4,0
5,CASH_IN,2398.78,C55728776,11616.96,14015.74,M16895666,12623.92,10225.14,0
218,TRANSFER,579.29,C18770247,20614.66,20035.37,M19943140,28851.06,29430.35,0
503,PAYMENT,3435.39,C30364454,10895.27,7459.88,M85543051,47456.28,50891.67,0
398,PAYMENT,435.05,C43311626,6357.63,5922.58,M65857931,30315.88,30750.93,0
393,CASH_IN,3955.8,C40291214,42740.48,46696.28,M61053474,22525.72,18569.92,0
207,PAYMENT,2219.18,C88990506,51720.74,49501.56,M50987442,28431.47,30650.65,0
15,DEBIT,310.55,C23318904,47690.06,47379.51,M37888820,31275.75,30965.2,0
554,PAYMENT,1330.58,C20896797,9183.43,7852.85,M33328859,27599.61,28930.19,0
461,CASH_IN,791.1,C64830300,23316.29,24107.39,M89699989,23495.62,22704.52,0
691,DEBIT,172.87,C48668783,35520.66,35347.79,M70939053,3558.99,3386.12,0
575,TRANSFER,1330.13,C93893865,30819.61,29489.48,M36550845,21256.95,22587.08,0
743,PAYMENT,2727.37,C96924061,10176.84,7449.47,M45652586,41331.56,44058.93,0
241,PAYMENT,366.34,C32269779,39997.77,39631.43,M89865458,37447.89,37814.23,0
564,TRANSFER,1450.17,C26690465,24885.07,23434.9,M50814428,34986.68,36436.85,0
96,TRANSFER,2507.36,C76276072,24395.3,21887.94,M90267122,1993.04,4500.4,0
734,PAYMENT,2165.82,C53261270,32351.5,30185.68,M13471527,4566.34,6732.16,0
485,PAYMENT,4809.94,C87201917,34166.09,29356.15,M12784407,49978.62,54788.56,0
407,TRANSFER,1354.86,C15399803,39510.31,38155.45,M33513701,23525.04,24879.9,0
231,TRANSFER,4581.2,C34359060,54428.47,49847.27,M68503492,31739.24,36320.44,0
655,PAYMENT,2463.71,C22246348,25964.23,23500.52,M64807553,16665.42,19129.13,0
171,PAYMENT,3353.97,C31585546,19844.15,16490.18,M76500726,14410.89,17764.86,0
541,CASH_IN,4726.52,C83832717,6561.38,11287.9,M21819185,15725.86,10999.34,0
36,TRANSFER,4851.22,C64247457,48096.75,43245.53,M10154493,32883.02,37734.24,0
525,CASH_OUT,2072.11,C35176902,27994.08,25921.97,M93568503,37822.16,39894.27,0
160,TRANSFER,3802.35,C37321124,17155.16,13352.81,M27584297,46383.64,50185.99,0
699,PAYMENT,2196.2,C75056916,8267.5,6071.3,M94560158,30443.58,32639.78,0
243,PAYMENT,1204.09,C31257157,16741.6,15537.51,M11835355,27612.57,28816.66,0
86,PAYMENT,475.11,C25228493,23547.5,23072.39,M25766039,32385.48,32860.59,0
578,DEBIT,778.32,C49172995,26221.92,25443.6,M46698468,20774.52,19996.2,0
682,CASH_OUT,2366.38,C71308842,29929.63,27563.25,M61484043,9530.52,11896.9,0
557,PAYMENT,3000.89,C28321839,46202.24,43201.35,M47077298,38633.76,41634.65,0
574,CASH_IN,4273.52,C55617282,50985.94,55259.46,M78147397,13358.63,9085.11,0
646,PAYMENT,22.8,C50071487,41896.6,41873.8,M87835998,49945.12,49967.92,0
28,CASH_IN,2453.31,C29944139,24780.68,27233.99,M75007200,17256.2,14802.89,0
620,CASH_IN,2764.07,C82937948,21624.57,24388.64,M53188224,43480.08,40716.01,0
556,PAYMENT,4904.07,C42051937,33493.95,28589.88,M41348220,42800.65,47704.72,0
340,PAYMENT,2059.77,C52704903,39295.03,37235.26,M61167978,19303.94,21363.71,0
331,TRANSFER,4105.53,C30415230,28871.96,24766.43,M14968688,6312.31,10417.84,0
640,CASH_OUT,1666.65,C23470708,45376.17,43709.52,M69096899,4985.58,6652.23,0
506,TRANSFER,86.58,C29348212,20585.51,20498.93,M97883261,48497.84,48584.42,0
348,CASH_IN,383.39,C45570755,17311.45,17694.84,M63349308,32491.83,32108.44,0
473,CASH_OUT,4263.18,C81621574,23263.65,19000.47,M52501540,31339.96,35603.14,0
231,PAYMENT,4438.32,C75491202,48057.47,43619.15,M14818295,30872.97,35311.29,0
190,PAYMENT,1181.5,C48571356,51052.8,49871.3,M22130508,21698.57,22880.07,0
225,CASH_OUT,3172.4,C23489853,25356.33,22183.93,M50193656,45171.2,48343.6,0
385,PAYMENT,239.49,C17532195,14907.88,14668.39,M60310319,21534.34,21773.83,0
377,CASH_OUT,2066.14,C34166826,10565.32,8499.18,M20598952,30474.59,32540.73,0
283,PAYMENT,1918.9,C42323627,26802.26,24883.36,M88270025,7155.89,9074.79,0
633,PAYMENT,2311.14,C44088261,25289.66,22978.52,M99501846,469.87,2781.01,0
628,PAYMENT,4025.12,C48605268,37905.66,33880.54,M31203129,3693.1,7718.22,0
259,CASH_OUT,4938.38,C50151803,36885.32,31946.94,M66949781,34515.68,39454.06,0
359,PAYMENT,2289.61,C50550084,12250.46,9960.85,M61632653,42666.77,44956.38,0
710,CASH_OUT,1913.01,C58178682,30653.61,28740.6,M49625201,1096.98,3009.99,0
456,TRANSFER,1985.07,C11086890,30281.52,28296.45,M16582607,45530.85,47515.92,0
411,CASH_OUT,4165.87,C48412328,42952.92,38787.05,M40885967,30353.25,34519.12,0
649,TRANSFER,3186.72,C93334601,15718.06,12531.34,M98473848,34042.75,37229.47,0
318,PAYMENT,692.53,C23041121,45862.72,45170.19,M96750368,1971.13,2663.66,0
677,CASH_OUT,176.49,C58970845,36794.48,36617.99,M22097496,45481.39,45657.88,0
225,PAYMENT,1640.33,C65767881,10422.33,8782.0,M27738187,39325.64,40965.97,0
234,TRANSFER,1835.63,C77349752,47509.98,45674.35,M32084778,12848.5,14684.13,0
684,PAYMENT,4125.2,C74672520,52494.4,48369.2,M49613214,37327.97,41453.17,0
664,CASH_OUT,584.7,C20106509,7622.55,7037.85,M40281491,43007.03,43591.73,0
374,CASH_IN,3623.84,C63339667,51987.33,55611.17,M84801233,18288.75,14664.91,0
672,TRANSFER,79.45,C82017516,6258.89,6179.44,M59470729,33641.42,33720.87,0
608,TRANSFER,2926.95,C95704631,49941.54,47014.59,M24541967,33741.83,36668.78,0
472,CASH_OUT,3101.54,C85350823,19501.85,16400.31,M91883846,11068.36,14169.9,0
233,PAYMENT,325.45,C72312933,45794.83,45469.38,M50559278,32461.97,32787.42,0
692,CASH_IN,592.21,C16086345,47905.29,48497.5,M50851122,49796.37,49204.16,0
113,PAYMENT,589.44,C41514326,44952.41,44362.97,M28208520,19432.29,20021.73,0
497,CASH_IN,1861.35,C82503409,22817.69,24679.04,M30739712,44270.69,42409.34,0
442,CASH_OUT,4170.13,C92631441,24575.92,20405.79,M47546086,1635.81,5805.94,0
564,CASH_OUT,2222.48,C41690501,44994.99,42772.51,M23335151,49046.39,51268.87,0
268,CASH_OUT,4509.46,C96547189,22443.15,17933.69,M63437398,13794.07,18303.53,0
510,TRANSFER,4745.56,C71031132,9329.23,4583.67,M38468360,32085.22,36830.78,0
386,TRANSFER,116.57,C54762841,12295.01,12178.44,M26901217,39348.9,39465.47,0
387,PAYMENT,1033.98,C84384510,11391.85,10357.87,M38984499,40652.65,41686.63,0
113,CASH_OUT,3874.1,C89991301,4015.88,141.78,M29419691,49376.37,53250.47,0
613,CASH_OUT,3994.58,C24754064,37047.46,33052.88,M13460153,6590.16,10584.74,0
625,DEBIT,1797.63,C41934639,31240.28,29442.65,M12118101,8712.31,6914.68,0
81,TRANSFER,3711.17,C80610004,9393.64,5682.47,M18530615,23812.3,27523.47,0
699,PAYMENT,3892.31,C78885632,33575.61,29683.3,M70667140,25191.93,29084.24,0
113,PAYMENT,4727.62,C15820356,41089.77,36362.15,M98436473,26072.56,30800.18,0
2,CASH_OUT,4820.49,C18163847,54749.83,49929.34,M63904155,21313.68,26134.17,0
642,PAYMENT,548.73,C69533928,4223.27,3674.54,M20843514,16105.59,16654.32,0
220,PAYMENT,750.19,C26937148,14500.99,13750.8,M94970119,29268.23,30018.42,0
566,DEBIT,3563.64,C61124122,53295.03,49731.39,M81210133,14744.89,11181.25,0
736,TRANSFER,2156.69,C25356396,44796.33,42639.64,M97364555,43885.31,46042.0,0
225,TRANSFER,4328.81,C67723010,26906.56,22577.75,M40667888,20690.68,25019.49,0
385,PAYMENT,4138.82,C63516659,24938.3,20799.48,M22762205,15627.42,19766.24,0
403,CASH_OUT,1281.9,C30486849,35622.95,34341.05,M73655158,3356.67,4638.57,0
638,PAYMENT,4160.54,C22513132,25754.37,21593.83,M60015814,40588.46,44749.0,0
130,CASH_OUT,2936.46,C85374852,31020.63,28084.17,M99927658,6111.56,9048.02,0
53,PAYMENT,1774.45,C99300492,48830.94,47056.49,M66765623,43404.61,45179.06,0
684,DEBIT,3608.09,C48604965,33628.59,30020.5,M57197152,5180.03,1571.94,0
730,TRANSFER,782.1,C74718365,11994.34,11212.24,M24524825,17505.7,18287.8,0
672,TRANSFER,583.28,C47388792,29288.28,28705.0,M67594492,42257.76,42841.04,0
710,CASH_OUT,4093.95,C92352411,37842.79,33748.84,M84724345,1312.69,5406.64,0
416,CASH_OUT,4149.01,C45896226,5596.67,1447.66,M46677730,35134.94,39283.95,0
247,PAYMENT,1551.83,C55610493,19103.0,17551.17,M34347841,43493.14,45044.97,0
439,CASH_OUT,2009.91,C29042093,39058.36,37048.45,M14114726,4587.88,6597.79,0
203,PAYMENT,2657.11,C60491958,23648.73,20991.62,M55754284,7870.46,10527.57,0
184,CASH_IN,1565.07,C53537934,40406.85,41971.92,M86181117,29811.19,28246.12,0
123,DEBIT,4417.88,C30881581,12288.37,7870.49,M92924837,2488.12,-1929.76,0
401,PAYMENT,417.09,C69473616,33514.02,33096.93,M75184410,30353.8,30770.89,0
294,DEBIT,2076.78,C38933176,39823.94,37747.16,M25276327,17258.64,15181.86,0
280,PAYMENT,563.34,C89609131,24894.98,24331.64,M99541016,15420.97,15984.31,0
610,PAYMENT,1110.39,C90440034,3849.49,2739.1,M37437207,15070.97,16181.36,0
198,CASH_IN,1064.06,C28419343,39272.1,40336.16,M48848936,16406.12,15342.06,0
511,CASH_OUT,749543.98,C33581357,756003.27,6459.29,M81481992,35183.56,784727.54,1
144,TRANSFER,4168.44,C57535513,7772.21,3603.77,M15677713,21810.98,25979.42,0
609,PAYMENT,2304.17,C20450542,45409.67,43105.5,M87277086,21464.21,23768.38,0
201,PAYMENT,2028.07,C95918360,22912.77,20884.7,M25458308,20251.62,22279.69,0
124,CASH_IN,4831.34,C33068427,44897.45,49728.79,M92963368,23004.85,18173.51,0
187,PAYMENT,3451.15,C58567046,7857.64,4406.49,M24208709,12165.82,15616.97,0
326,PAYMENT,2948.47,C80325062,6880.82,3932.35,M51644346,37290.24,40238.71,0
464,TRANSFER,3897.8,C20251466,29421.96,25524.16,M25304396,26530.24,30428.04,0
349,TRANSFER,3883.38,C57123808,40252.34,36368.96,M96629889,40751.85,44635.23,0
660,TRANSFER,740.76,C36477373,9415.71,8674.95,M30517835,38010.76,38751.52,0
403,PAYMENT,3280.99,C33776150,50845.6,47564.61,M94281857,24705.85,27986.84,0
346,PAYMENT,3774.68,C87774890,26219.94,22445.26,M85764804,32149.59,35924.27,0
511,PAYMENT,4932.79,C53380275,48145.13,43212.34,M94183695,15806.94,20739.73,0
147,CASH_IN,2204.42,C72937522,24314.82,26519.24,M50643870,39816.48,37612.06,0
148,PAYMENT,2961.18,C57236885,28328.02,25366.84,M51662236,23087.12,26048.3,0
711,CASH_OUT,375050.22,C48530827,378886.77,3836.55,M22119391,30750.42,405800.64,1
489,CASH_OUT,2318.93,C84399083,50030.5,47711.57,M15505975,22486.69,24805.62,0
640,DEBIT,4050.98,C97488142,13462.95,9411.97,M91202508,23781.45,19730.47,0
551,DEBIT,762.8,C18304547,23288.96,22526.16,M56095437,49119.28,48356.48,0
338,PAYMENT,430.8,C96721710,9058.75,8627.95,M43251599,35381.09,35811.89,0
641,PAYMENT,4955.02,C80339290,31092.42,26137.4,M31306555,18194.9,23149.92,0
473,TRANSFER,1943.21,C55414869,35888.1,33944.89,M17028380,39461.35,41404.56,0
151,PAYMENT,3240.05,C18846539,19724.59,16484.54,M84888554,33918.97,37159.02,0
415,CASH_OUT,3621.43,C98122539,51841.93,48220.5,M90893133,43663.98,47285.41,0
298,CASH_OUT,2917.87,C28982195,48755.19,45837.32,M51638598,48384.83,51302.7,0
611,DEBIT,3495.42,C62607710,9943.0,6447.58,M21370793,15479.09,11983.67,0
263,PAYMENT,1889.63,C54087376,42548.87,40659.24,M99941500,35141.54,37031.17,0
144,CASH_IN,4736.07,C80651318,9408.72,14144.79,M99987086,21170.32,16434.25,0
346,PAYMENT,1815.52,C58667035,17258.82,15443.3,M38748452,17086.62,18902.14,0
624,TRANSFER,968.11,C28463709,8715.37,7747.26,M49700543,42221.42,43189.53,0
572,TRANSFER,3856.66,C80669879,5744.03,1887.37,M55199748,43819.64,47676.3,0
2,CASH_OUT,2990.26,C30703455,11102.62,8112.36,M93851247,40452.19,43442.45,0
304,TRANSFER,2193.99,C65144509,20408.96,18214.97,M41880763,48479.43,50673.42,0
254,CASH_IN,3056.87,C70254091,14757.02,17813.89,M42100652,15473.39,12416.52,0
652,CASH_IN,4045.03,C72950208,49243.75,53288.78,M36040410,18392.05,14347.02,0
453,DEBIT,4736.18,C69135982,27820.18,23084.0,M47818761,38906.2,34170.02,0
37,PAYMENT,2519.5,C66191704,50832.91,48313.41,M36802975,40062.96,42582.46,0
160,DEBIT,700.61,C43554863,3309.6,2608.99,M74503785,43705.85,43005.24,0
9,CASH_OUT,521.92,C79244185,43080.22,42558.3,M48260510,4193.76,4715.68,0
233,PAYMENT,809.96,C70306604,46075.27,45265.31,M29776801,41552.34,42362.3,0
99,PAYMENT,467.65,C39801436,41302.81,40835.16,M56920514,46523.6,46991.25,0
659,PAYMENT,2080.34,C63211150,27180.7,25100.36,M41645597,19308.31,21388.65,0
208,PAYMENT,417.21,C40137082,1826.59,1409.38,M23298711,41958.81,42376.02,0
131,TRANSFER,3958.99,C28468304,5874.15,1915.16,M73411827,34803.6,38762.59,0
404,CASH_IN,702.58,C72962895,23132.65,23835.23,M10704803,45292.87,44590.29,0
152,TRANSFER,250938.41,C30068183,250938.41,0.0,M91722503,26388.58,249886.78,1
54,TRANSFER,1447.63,C50419829,7540.05,6092.42,M42002808,20991.28,22438.91,0
120,CASH_IN,3971.56,C71352751,7111.92,11083.48,M77085942,29836.95,25865.39,0
673,PAYMENT,92.01,C79172559,28844.38,28752.37,M29270557,14563.6,14655.61,0
628,DEBIT,17.81,C57354167,12046.02,12028.21,M65910756,9365.7,9347.89,0
587,TRANSFER,2622.19,C58399417,6006.16,3383.97,M80606503,27204.1,29826.29,0
625,TRANSFER,2543.04,C12729224,22065.73,19522.69,M73100462,2176.72,4719.76,0
420,PAYMENT,1940.54,C60103798,14623.05,12682.51,M12179995,17854.69,19795.23,0
422,TRANSFER,1213.22,C98195059,32626.07,31412.85,M88101741,36759.35,37972.57,0
104,PAYMENT,1669.27,C15950635,19284.22,17614.95,M55439043,40675.44,42344.71,0
254,CASH_OUT,3897.92,C72360629,52938.88,49040.96,M74227366,31586.79,35484.71,0
227,PAYMENT,4059.37,C18469210,39861.62,35802.25,M71428713,1849.19,5908.56,0
112,DEBIT,1015.94,C36772387,45305.46,44289.52,M52358553,46668.55,45652.61,0
510,PAYMENT,2581.76,C82884346,26251.75,23669.99,M14915156,37664.55,40246.31,0
473,PAYMENT,963.61,C57912262,44070.54,43106.93,M16416148,43289.91,44253.52,0
99,CASH_OUT,631.13,C59394697,22478.7,21847.57,M63690013,37165.39,37796.52,0
